acronym,group
ISLR2,brain
ITGB8,brain
ITIH2,brain
ITM2C,brain
ITPKA,brain
JAKMIP1,brain
JAKMIP2,brain
JAKMIP3,brain
JPH1,brain
JPH3,brain
JPH4,brain
KBTBD11,brain
KBTBD6,brain
KCNA1,brain
KCNA2,brain
KCNA4,brain
KCNA6,brain
KCNA7,brain
KCNAB2,brain
KCNB1,brain
KCNB2,brain
KCNC1,brain
KCNC2,brain
KCNC3,brain
KCND2,brain
KCND3,brain
KCNF1,brain
KCNG2,brain
KCNG3,brain
KCNG4,brain
KCNH1,brain
KCNH3,brain
KCNH4,brain
KCNH5,brain
KCNH7,brain
KCNH8,brain
KCNIP1,brain
KCNIP2,brain
KCNIP3,brain
KCNIP4,brain
KCNJ10,brain
KCNJ11,brain
KCNJ16,brain
KCNJ3,brain
KCNJ4,brain
KCNJ6,brain
KCNJ9,brain
KCNK1,brain
KCNK10,brain
KCNK12,brain
KCNK18,brain
KCNK2,brain
KCNK4,brain
KCNK9,brain
KCNMB2,brain
KCNMB4,brain
KCNN1,brain
KCNN2,brain
KCNN3,brain
KCNQ2,brain
KCNQ3,brain
KCNQ5,brain
KCNS1,brain
KCNS2,brain
KCNT1,brain
KCNU1,brain
KCNV1,brain
KCTD16,brain
KCTD4,brain
KCTD8,brain
KHDC1,brain
KHDRBS2,brain
KHDRBS3,brain
KIAA0087,brain
KIAA0319,brain
KIAA0513,brain
KIAA1024L,brain
KIAA1107,brain
KIAA1456,brain
KIAA1549,brain
KIAA1644,brain
KIAA1755,brain
KIAA2022,brain
KIF1A,brain
KIF1B,brain
KIF21A,brain
KIF21B,brain
KIF3A,brain
KIF3C,brain
KIF5A,brain
KIF5C,brain
KIF6,brain
KIFAP3,brain
KIR3DX1,brain
KIRREL2,brain
KIRREL3,brain
KISS1R,brain
KLF1,brain
KLHDC8A,brain
KLHL1,brain
KLHL2,brain
KLHL32,brain
KLHL34,brain
KLHL35,brain
KLHL4,brain
KLK5,brain
KLK6,brain
KLK7,brain
KLRC2,brain
KLRC3,brain
KLRC4,brain
KNCN,brain
KNDC1,brain
KNG1,brain
KPRP,brain
KREMEN2,brain
KRT222,brain
KRT3,brain
KRT31,brain
KRT33B,brain
